"Tabela 9606 - População residente, por cor ou raça, segundo o sexo e a idade"
"Variável - População residente (Pessoas)"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Ano x Cor ou raça x Sexo"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"2022"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Total";;;"Branca";;;"Preta";;;"Amarela";;;"Parda";;;"Indígena"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Rio de Janeiro";"Total";"16055174";"7577675";"8477499";"6739901";"3084318";"3655583";"2594253";"1242620";"1351633";"21837";"9957";"11880";"6682740";"3233362";"3449378";"15904";"7172";"8732"
"Rio de Janeiro";"0 a 4 anos";"875769";"443094";"432675";"384127";"193912";"190215";"106512";"54128";"52384";"840";"411";"429";"383767";"194360";"189407";"502";"274";"228"
"Rio de Janeiro";"Menos de 1 ano";"154521";"77850";"76671";"72416";"36396";"36020";"17043";"8660";"8383";"138";"77";"61";"64845";"32679";"32166";"78";"37";"41"
"Rio de Janeiro";"Menos de 1 mês";"11312";"5760";"5552";"5451";"2706";"2745";"1145";"571";"574";"7";"5";"2";"4703";"2475";"2228";"6";"3";"3"
"Rio de Janeiro";"1 mês";"11845";"6008";"5837";"5458";"2715";"2743";"1272";"657";"615";"15";"9";"6";"5097";"2624";"2473";"3";"3";"-"
"Rio de Janeiro";"2 meses";"12988";"6429";"6559";"6011";"3016";"2995";"1355";"661";"694";"16";"5";"11";"5603";"2745";"2858";"3";"2";"1"
"Rio de Janeiro";"3 meses";"13019";"6576";"6443";"6233";"3087";"3146";"1441";"751";"690";"14";"6";"8";"5325";"2730";"2595";"6";"2";"4"
"Rio de Janeiro";"4 meses";"13541";"6737";"6804";"6490";"3246";"3244";"1499";"743";"756";"10";"8";"2";"5536";"2736";"2800";"6";"4";"2"
"Rio de Janeiro";"5 meses";"12437";"6327";"6110";"5879";"3017";"2862";"1361";"673";"688";"8";"4";"4";"5182";"2629";"2553";"7";"4";"3"
"Rio de Janeiro";"6 meses";"13282";"6699";"6583";"6218";"3185";"3033";"1457";"724";"733";"12";"6";"6";"5583";"2780";"2803";"12";"4";"8"
"Rio de Janeiro";"7 meses";"13687";"6885";"6802";"6320";"3207";"3113";"1558";"777";"781";"13";"9";"4";"5787";"2886";"2901";"9";"6";"3"
"Rio de Janeiro";"8 meses";"13406";"6697";"6709";"6273";"3174";"3099";"1493";"764";"729";"9";"5";"4";"5626";"2752";"2874";"5";"2";"3"
"Rio de Janeiro";"9 meses";"13213";"6690";"6523";"6046";"3019";"3027";"1528";"780";"748";"6";"3";"3";"5624";"2885";"2739";"8";"2";"6"
"Rio de Janeiro";"10 meses";"12772";"6510";"6262";"6054";"3057";"2997";"1382";"746";"636";"16";"13";"3";"5313";"2692";"2621";"7";"2";"5"
"Rio de Janeiro";"11 meses";"13019";"6532";"6487";"5983";"2967";"3016";"1552";"813";"739";"12";"4";"8";"5466";"2745";"2721";"6";"3";"3"
"Rio de Janeiro";"1 ano";"157190";"79579";"77611";"70775";"35694";"35081";"18466";"9461";"9005";"158";"84";"74";"67676";"34278";"33398";"109";"60";"49"
"Rio de Janeiro";"2 anos";"178979";"90554";"88425";"78422";"39619";"38803";"21974";"11064";"10910";"173";"85";"88";"78329";"39735";"38594";"78";"49";"29"
"Rio de Janeiro";"3 anos";"189103";"95481";"93622";"80441";"40622";"39819";"23868";"12064";"11804";"211";"92";"119";"84456";"42640";"41816";"123";"60";"63"
"Rio de Janeiro";"4 anos";"195976";"99630";"96346";"82073";"41581";"40492";"25161";"12879";"12282";"160";"73";"87";"88461";"45028";"43433";"114";"68";"46"
"Rio de Janeiro";"5 a 9 anos";"1015741";"517446";"498295";"399192";"202443";"196749";"139347";"70981";"68366";"1023";"557";"466";"475532";"243123";"232409";"626";"331";"295"
"Rio de Janeiro";"5 anos";"192637";"97606";"95031";"77749";"39187";"38562";"25716";"12983";"12733";"172";"91";"81";"88883";"45289";"43594";"115";"54";"61"
"Rio de Janeiro";"6 anos";"205453";"104906";"100547";"82001";"41674";"40327";"27801";"14239";"13562";"204";"106";"98";"95338";"48820";"46518";"105";"64";"41"
"Rio de Janeiro";"7 anos";"209792";"106388";"103404";"82337";"41309";"41028";"28567";"14577";"13990";"206";"120";"86";"98543";"50304";"48239";"135";"76";"59"
"Rio de Janeiro";"8 anos";"203791";"104162";"99629";"78900";"40440";"38460";"28554";"14484";"14070";"227";"121";"106";"95982";"49057";"46925";"126";"59";"67"
"Rio de Janeiro";"9 anos";"204068";"104384";"99684";"78205";"39833";"38372";"28709";"14698";"14011";"214";"119";"95";"96786";"49653";"47133";"145";"78";"67"
"Rio de Janeiro";"10 a 14 anos";"964636";"494467";"470169";"365163";"185197";"179966";"140553";"73058";"67495";"1066";"531";"535";"457146";"235292";"221854";"683";"376";"307"
"Rio de Janeiro";"10 anos";"193037";"99424";"93613";"74058";"37952";"36106";"27384";"14207";"13177";"207";"110";"97";"91278";"47099";"44179";"106";"54";"52"
"Rio de Janeiro";"11 anos";"192151";"98280";"93871";"73385";"37277";"36108";"27416";"14228";"13188";"187";"102";"85";"91013";"46592";"44421";"144";"79";"65"
